name,url,review_count,categories,rating,snippet_text,location,neighborhood,latitude,longitude,search category
Mike & Patty's,http://www.yelp.com/biz/mike-and-pattys-boston,749,"[[""Sandwiches"", ""sandwiches""], [""Breakfast & Brunch"", ""breakfast_brunch""]]",4.5,"Stopped here for breakfast our first morning in Boston- didn't disappoint!

The storefront is super small and we had a stroller, so we didn't stay and eat...","{""cross_streets"": ""Tremont St & Fayette St"", ""city"": ""Boston"", ""display_address"": [""12 Church St"", ""Boston, MA 02116""], ""geo_accuracy"": 9.5, ""postal_code"": ""02116"", ""country_code"": ""US"", ""address"": [""12 Church St""], ""coordinate"": {""latitude"": 42.3485697036883, ""longitude"": -71.0677027702332}, ""state_code"": ""MA""}",,42.3485697,-71.06770277,restaurants
Giacomo's Ristorante,http://www.yelp.com/biz/giacomos-ristorante-boston,1923,"[[""Italian"", ""italian""]]",4,"Background: My friend and I went on a One-Day-All-Out-Boston Excursion and she told me about this place and how it was a must if we're in town.

They open...","{""cross_streets"": ""Tileston St & Clark St"", ""city"": ""Boston"", ""display_address"": [""355 Hanover St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""355 Hanover St""], ""coordinate"": {""latitude"": 42.3645782, ""longitude"": -71.0534363}, ""state_code"": ""MA""}",North End,42.3645782,-71.0534363,restaurants
Row 34,http://www.yelp.com/biz/row-34-boston,358,"[[""American (New)"", ""newamerican""], [""Seafood"", ""seafood""]]",4,"The food here is excellent!... and the service here is excellent!

The oysters were fresh and delicious and had many different sauce options. The entrees...","{""cross_streets"": ""Thomson Pl"", ""city"": ""Boston"", ""display_address"": [""383 Congress St"", ""Waterfront"", ""Boston, MA 02210""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Waterfront"", ""South Boston""], ""postal_code"": ""02210"", ""country_code"": ""US"", ""address"": [""383 Congress St""], ""coordinate"": {""latitude"": 42.3496337161869, ""longitude"": -71.0473232766807}, ""state_code"": ""MA""}",Waterfront,42.34963372,-71.04732328,restaurants
PRESSED,http://www.yelp.com/biz/pressed-boston,40,"[[""Juice Bars & Smoothies"", ""juicebars""], [""Vegetarian"", ""vegetarian""]]",4.5,"I'm not religious but I've just found my new place of worship! It's super hero juice people. You'll feel a sense of vitality, your taste buds and organs...","{""cross_streets"": ""Revere St & Pinckney St"", ""city"": ""Boston"", ""display_address"": [""120 Charles St"", ""Beacon Hill"", ""Boston, MA 02114""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Beacon Hill""], ""postal_code"": ""02114"", ""country_code"": ""US"", ""address"": [""120 Charles St""], ""coordinate"": {""latitude"": 42.359226, ""longitude"": -71.070992}, ""state_code"": ""MA""}",Beacon Hill,42.359226,-71.070992,restaurants
Boston Indian Kitchen,http://www.yelp.com/biz/boston-indian-kitchen-boston,65,"[[""Indian"", ""indpak""]]",4,"They made a few changes and I like them even better now! First, no more serving in takeout containers for those eating in; second, increased portions...","{""cross_streets"": ""Commonwealth Ave & Marlborough St"", ""city"": ""Boston"", ""display_address"": [""51A Massachusetts Ave"", ""Back Bay"", ""Boston, MA 02115""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Back Bay""], ""postal_code"": ""02115"", ""country_code"": ""US"", ""address"": [""51A Massachusetts Ave""], ""coordinate"": {""latitude"": 42.3496932983398, ""longitude"": -71.0892333984375}, ""state_code"": ""MA""}",Back Bay,42.3496933,-71.0892334,restaurants
Saus,http://www.yelp.com/biz/saus-boston,685,"[[""Belgian"", ""belgian""], [""Sandwiches"", ""sandwiches""]]",4,"Good Lord, Saus. If it was a person, I would marry it. I randomly came here after starting a new job in the area over a year ago, and I tell everyone about...","{""city"": ""Boston"", ""display_address"": [""33 Union St"", ""Boston, MA 02108""], ""geo_accuracy"": 9.5, ""postal_code"": ""02108"", ""country_code"": ""US"", ""address"": [""33 Union St""], ""coordinate"": {""latitude"": 42.3610800091721, ""longitude"": -71.0570718850568}, ""state_code"": ""MA""}",,42.36108001,-71.05707189,restaurants
The Tap Trailhouse,http://www.yelp.com/biz/the-tap-trailhouse-boston-2,66,"[[""American (Traditional)"", ""tradamerican""], [""Pubs"", ""pubs""]]",4,"I walked in with no expectations, and everything was absolutely perfect. They've really transformed themselves. 

we shared:
apps - fried smelt, quahogs...","{""city"": ""Boston"", ""display_address"": [""19 Union St"", ""Boston, MA 02108""], ""geo_accuracy"": 8.0, ""postal_code"": ""02108"", ""country_code"": ""US"", ""address"": [""19 Union St""], ""coordinate"": {""latitude"": 42.3608665, ""longitude"": -71.0566788}, ""state_code"": ""MA""}",,42.3608665,-71.0566788,restaurants
The Daily Catch,http://www.yelp.com/biz/the-daily-catch-boston,802,"[[""Italian"", ""italian""], [""Seafood"", ""seafood""]]",4,You would never know how amazing this restaurant is by just looking at it. It's a hole in the wall. It is a tiny place with only a few tables. There is no...,"{""cross_streets"": ""Fleet St & Lathrop Pl"", ""city"": ""Boston"", ""display_address"": [""323 Hanover St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""323 Hanover St""], ""coordinate"": {""latitude"": 42.3640594, ""longitude"": -71.0539703}, ""state_code"": ""MA""}",North End,42.3640594,-71.0539703,restaurants
Koy,http://www.yelp.com/biz/koy-boston,136,"[[""Korean"", ""korean""], [""Asian Fusion"", ""asianfusion""]]",4,"Loved loved loved this place. We went in pretty late around 9:30 or 10pm. The owner, I'm guessing, greeted us with great enthusiasm! Told is about some...","{""cross_streets"": ""Merchants Row & Creek Sq"", ""city"": ""Boston"", ""display_address"": [""16 North St"", ""Boston, MA 02109""], ""geo_accuracy"": 8.0, ""postal_code"": ""02109"", ""country_code"": ""US"", ""address"": [""16 North St""], ""coordinate"": {""latitude"": 42.3606090992689, ""longitude"": -71.0562209039927}, ""state_code"": ""MA""}",,42.3606091,-71.0562209,restaurants
Jm Curley,http://www.yelp.com/biz/jm-curley-boston,413,"[[""American (New)"", ""newamerican""], [""Lounges"", ""lounges""]]",4,Friggen' yum! I came here this past Tuesday to enjoy some cocktails and dinner with a friend. Jm Curley does not take reservations so we showed up at 6:30...,"{""cross_streets"": ""Tremont St & Winter Pl"", ""city"": ""Boston"", ""display_address"": [""21 Temple Pl"", ""Downtown"", ""Boston, MA 02111""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Downtown""], ""postal_code"": ""02111"", ""country_code"": ""US"", ""address"": [""21 Temple Pl""], ""coordinate"": {""latitude"": 42.3551788330078, ""longitude"": -71.0623931884766}, ""state_code"": ""MA""}",Downtown,42.35517883,-71.06239319,restaurants
The Coffee Trike,http://www.yelp.com/biz/the-coffee-trike-boston,24,"[[""Coffee & Tea"", ""coffee""]]",5,I was running late for work because of the red line having delays. I got off at south station and was miffed that i couldn't make my usual DD run before...,"{""city"": ""Boston"", ""display_address"": [""Dewey Square"", ""Waterfront"", ""Boston, MA 02111""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Waterfront"", ""Financial District"", ""South Boston""], ""postal_code"": ""02111"", ""country_code"": ""US"", ""address"": [""Dewey Square""], ""coordinate"": {""latitude"": 42.3527578278786, ""longitude"": -71.0554103851318}, ""state_code"": ""MA""}",Waterfront,42.35275783,-71.05541039,coffee
Polcari's Coffee,http://www.yelp.com/biz/polcaris-coffee-boston,117,"[[""Coffee & Tea"", ""coffee""]]",5,I will be one of many to come to post a five star review for this place - every time I come into Polcari's there's something new and I receive consistently...,"{""cross_streets"": ""Bartlett Pl & Cooper St"", ""city"": ""Boston"", ""display_address"": [""105 Salem St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""105 Salem St""], ""coordinate"": {""latitude"": 42.3640099, ""longitude"": -71.0554962}, ""state_code"": ""MA""}",North End,42.3640099,-71.0554962,coffee
DavidsTea,http://www.yelp.com/biz/davidstea-boston-4,37,"[[""Coffee & Tea"", ""coffee""]]",5,"This tea shop is so cute and colorful! Come here to buy your loose leaf teas, tea related merchandise, and iced or hot teas to go. Not a sit down spot.

The...","{""cross_streets"": ""Pembroke St & Brookline St"", ""city"": ""Boston"", ""display_address"": [""661 Tremont St"", ""South End"", ""Boston, MA 02118""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""South End""], ""postal_code"": ""02118"", ""country_code"": ""US"", ""address"": [""661 Tremont St""], ""coordinate"": {""latitude"": 42.3420601, ""longitude"": -71.0757675}, ""state_code"": ""MA""}",South End,42.3420601,-71.0757675,coffee
Boston Brewin Coffee,http://www.yelp.com/biz/boston-brewin-coffee-boston,89,"[[""Coffee & Tea"", ""coffee""]]",4.5,"This review is actually for the city hall location, but I couldn't find an entry for that.

I was really sad, years ago, when I stopped working on Newbury...","{""cross_streets"": ""Wesleyan Pl & Tremont St"", ""city"": ""Boston"", ""display_address"": [""45 Bromfield St"", ""Downtown"", ""Boston, MA 02108""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Downtown""], ""postal_code"": ""02108"", ""country_code"": ""US"", ""address"": [""45 Bromfield St""], ""coordinate"": {""latitude"": 42.3568821698427, ""longitude"": -71.0604950040579}, ""state_code"": ""MA""}",Downtown,42.35688217,-71.060495,coffee
The Well Coffee House,http://www.yelp.com/biz/the-well-coffee-house-boston-3,16,"[[""Coffee & Tea"", ""coffee""], [""Cafes"", ""cafes""]]",5,This is my go-to coffee spot near my office. Generally I avoid the chaos of South Station when looking for caffeine or nourishment but The Well draws me...,"{""city"": ""Boston"", ""display_address"": [""2 South Station"", ""Ste A6"", ""Waterfront"", ""Boston, MA 02011""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Waterfront"", ""South Boston""], ""postal_code"": ""02011"", ""country_code"": ""US"", ""address"": [""2 South Station"", ""Ste A6""], ""coordinate"": {""latitude"": 42.3516830317191, ""longitude"": -71.0551238669604}, ""state_code"": ""MA""}",Waterfront,42.35168303,-71.05512387,coffee
Barrington Coffee Roasting Company,http://www.yelp.com/biz/barrington-coffee-roasting-company-boston-2,36,"[[""Coffee & Tea"", ""coffee""]]",4.5,"Hot or iced, the almond milk decaf latte is delightful and skillfully crafted.  It's just well made here - $5 for a large, and worth every penny. I've been...","{""cross_streets"": ""Hereford St & Gloucester St"", ""city"": ""Boston"", ""display_address"": [""303 Newbury St"", ""Back Bay"", ""Boston, MA 02115""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Back Bay""], ""postal_code"": ""02115"", ""country_code"": ""US"", ""address"": [""303 Newbury St""], ""coordinate"": {""latitude"": 42.3489418, ""longitude"": -71.0855103}, ""state_code"": ""MA""}",Back Bay,42.3489418,-71.0855103,coffee
My Cousin's Place,http://www.yelp.com/biz/my-cousins-place-boston,39,"[[""Cafes"", ""cafes""], [""Coffee & Tea"", ""coffee""]]",4,Uniquely named signature sandwiches that kick ass. Small shop on the corner that packs a punch. 3 small tables and a counter with some stools. Can get...,"{""cross_streets"": ""Tileston St & Clark St"", ""city"": ""Boston"", ""display_address"": [""396 Hanover St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""396 Hanover St""], ""coordinate"": {""latitude"": 42.3659527825682, ""longitude"": -71.0529154596387}, ""state_code"": ""MA""}",North End,42.36595278,-71.05291546,coffee
Render Coffee,http://www.yelp.com/biz/render-coffee-boston,253,"[[""Cafes"", ""cafes""], [""Coffee & Tea"", ""coffee""]]",4.5,"Last time I was here, it was freezing cold outside, and it was packed inside so I just got an espresso to go and a bag of some GREAT coffee beans (Sipacapa...","{""cross_streets"": ""Wellington St & Springfield St"", ""city"": ""Boston"", ""display_address"": [""563 Columbus Ave"", ""Boston, MA 02118""], ""geo_accuracy"": 8.0, ""postal_code"": ""02118"", ""country_code"": ""US"", ""address"": [""563 Columbus Ave""], ""coordinate"": {""latitude"": 42.3411102, ""longitude"": -71.0815582}, ""state_code"": ""MA""}",,42.3411102,-71.0815582,coffee
Blunch,http://www.yelp.com/biz/blunch-boston,254,"[[""Breakfast & Brunch"", ""breakfast_brunch""], [""Coffee & Tea"", ""coffee""]]",4.5,Oh man guys. How have I not known this was here for so long! All the wasted years! I have found it. The best chocolate chip cookie in boston. And it's right...,"{""cross_streets"": ""Lincoln Pl & Washington St"", ""city"": ""Boston"", ""display_address"": [""59 E Springfield St"", ""South End"", ""Boston, MA 02118""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""South End""], ""postal_code"": ""02118"", ""country_code"": ""US"", ""address"": [""59 E Springfield St""], ""coordinate"": {""latitude"": 42.3354929990873, ""longitude"": -71.0747301578522}, ""state_code"": ""MA""}",South End,42.335493,-71.07473016,coffee
PS Gourmet Coffee,http://www.yelp.com/biz/ps-gourmet-coffee-boston-3,68,"[[""Coffee & Tea"", ""coffee""], [""Delis"", ""delis""], [""Sandwiches"", ""sandwiches""]]",4.5,"whattttt?! This shit is so fucking good. Came here yesterday after the beach & some chic was like ""if you have never been here before let me make you...","{""cross_streets"": ""Broadway & Silver St"", ""city"": ""Boston"", ""display_address"": [""106 Dorchester St"", ""South Boston"", ""Boston, MA 02127""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""South Boston""], ""postal_code"": ""02127"", ""country_code"": ""US"", ""address"": [""106 Dorchester St""], ""coordinate"": {""latitude"": 42.3351402, ""longitude"": -71.0457916}, ""state_code"": ""MA""}",South Boston,42.3351402,-71.0457916,coffee
The Five Seventy Market,http://www.yelp.com/biz/the-five-seventy-market-boston,72,"[[""Grocery"", ""grocery""], [""Sandwiches"", ""sandwiches""], [""Coffee & Tea"", ""coffee""]]",4,"I've been going to the 570 Market for over two years now, so I thought I should make my first Yelp review one for this truly remarkable business. There's no...","{""cross_streets"": ""Union Park & Upton St"", ""city"": ""Boston"", ""display_address"": [""570 Tremont St"", ""South End"", ""Boston, MA 02118""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""South End""], ""postal_code"": ""02118"", ""country_code"": ""US"", ""address"": [""570 Tremont St""], ""coordinate"": {""latitude"": 42.343399, ""longitude"": -71.0723267}, ""state_code"": ""MA""}",South End,42.343399,-71.0723267,coffee
Cuppacoffee,http://www.yelp.com/biz/cuppacoffee-boston,43,"[[""Coffee & Tea"", ""coffee""]]",4.5,"Came here to reminisce about Aussie treats. I worked at an Australian coffee shop, so I'm not easy to please!

My flat white was perfection. The barista...","{""cross_streets"": ""Traverse St & New Chardon St"", ""city"": ""Boston"", ""display_address"": [""1 Merrimac St"", ""Downtown"", ""Boston, MA 02114""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Downtown""], ""postal_code"": ""02114"", ""country_code"": ""US"", ""address"": [""1 Merrimac St""], ""coordinate"": {""latitude"": 42.3633245, ""longitude"": -71.0606972}, ""state_code"": ""MA""}",Downtown,42.3633245,-71.0606972,coffee
Barrington Coffee Roasting Company,http://www.yelp.com/biz/barrington-coffee-roasting-company-boston,108,"[[""Coffee & Tea"", ""coffee""]]",4.5,"Simple and straightforward service!
I stopped by for the first time today and grabbed an iced espresso with milk. It was excellent.
Lately I haven't been...","{""cross_streets"": ""A St & Farnsworth St"", ""city"": ""Boston"", ""display_address"": [""346 Congress St"", ""Waterfront"", ""Boston, MA 02210""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Waterfront"", ""South Boston""], ""postal_code"": ""02210"", ""country_code"": ""US"", ""address"": [""346 Congress St""], ""coordinate"": {""latitude"": 42.3506966, ""longitude"": -71.0486984}, ""state_code"": ""MA""}",Waterfront,42.3506966,-71.0486984,coffee
Another Cup,http://www.yelp.com/biz/another-cup-boston,21,"[[""Coffee & Tea"", ""coffee""]]",4,My first time at Another Cup was last week when my team and I came as part of a cafe-based work week. We would all definitely come again! Another Cup is...,"{""cross_streets"": ""May Pl & Ash St"", ""city"": ""Boston"", ""display_address"": [""1 Nassau St"", ""Chinatown"", ""Boston, MA 02111""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Chinatown""], ""postal_code"": ""02111"", ""country_code"": ""US"", ""address"": [""1 Nassau St""], ""coordinate"": {""latitude"": 42.34858, ""longitude"": -71.062941}, ""state_code"": ""MA""}",Chinatown,42.34858,-71.062941,coffee
Flour Bakery & Cafe,http://www.yelp.com/biz/flour-bakery-and-cafe-boston-2,691,"[[""Bakeries"", ""bakeries""], [""Coffee & Tea"", ""coffee""], [""Sandwiches"", ""sandwiches""]]",4,"Just eat here.
Lunched here several times while in Boston. Every time was exactly the same.
Excellent is the word that comes to mind. 
Wonderful sandwiches...","{""cross_streets"": ""Rutland St & Concord St"", ""city"": ""Boston"", ""display_address"": [""1595 Washington St"", ""South End"", ""Boston, MA 02118""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""South End""], ""postal_code"": ""02118"", ""country_code"": ""US"", ""address"": [""1595 Washington St""], ""coordinate"": {""latitude"": 42.338443, ""longitude"": -71.074548}, ""state_code"": ""MA""}",South End,42.338443,-71.074548,coffee
Olga's Kafe,http://www.yelp.com/biz/olgas-kafe-boston-2,39,"[[""Breakfast & Brunch"", ""breakfast_brunch""], [""Coffee & Tea"", ""coffee""]]",4.5,"Love this place...  One of the best/worst things about starting a new job is finding your new favorite lunch spot, post-work drinks spot, drycleaners, etc....","{""cross_streets"": ""Milton Pl & Devonshire St"", ""city"": ""Boston"", ""display_address"": [""99 Summer St"", ""Downtown"", ""Boston, MA 02110""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Downtown""], ""postal_code"": ""02110"", ""country_code"": ""US"", ""address"": [""99 Summer St""], ""coordinate"": {""latitude"": 42.353787, ""longitude"": -71.058278}, ""state_code"": ""MA""}",Downtown,42.353787,-71.058278,coffee
Thinking Cup,http://www.yelp.com/biz/thinking-cup-boston-2,764,"[[""Coffee & Tea"", ""coffee""]]",4,"Service is great! Super friendly staff. 

Got a vanilla ginger latte and it's amazing. Coming from LA, been looking for good cafes and I found it!","{""city"": ""Boston"", ""display_address"": [""165 Tremont St"", ""Boston, MA 02111""], ""geo_accuracy"": 8.0, ""postal_code"": ""02111"", ""country_code"": ""US"", ""address"": [""165 Tremont St""], ""coordinate"": {""latitude"": 42.3539183288813, ""longitude"": -71.0639215260744}, ""state_code"": ""MA""}",,42.35391833,-71.06392153,coffee
Blue State Coffee,http://www.yelp.com/biz/blue-state-coffee-boston-2,9,"[[""Coffee & Tea"", ""coffee""]]",4.5,"This place is great! I haven't had any of their food, however their coffee is great. It is a nice break from the usual Dunkin or Starbucks coffee. If you...","{""city"": ""Boston"", ""display_address"": [""155 Seaport Blvd"", ""Waterfront"", ""Boston, MA 02210""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Waterfront"", ""South Boston""], ""postal_code"": ""02210"", ""country_code"": ""US"", ""address"": [""155 Seaport Blvd""], ""coordinate"": {""latitude"": 42.3498701, ""longitude"": -71.0430434}, ""state_code"": ""MA""}",Waterfront,42.3498701,-71.0430434,coffee
Asta,http://www.yelp.com/biz/asta-boston,99,"[[""American (New)"", ""newamerican""]]",4.5,Asta-ondingly good food! I cannot wait to come back in a month to try the new menu. My boyfriend and I each got the the 5-course with wine pairing. Our five...,"{""cross_streets"": ""Marlborough St"", ""city"": ""Boston"", ""display_address"": [""47 Massachusetts Ave"", ""Back Bay"", ""Boston, MA 02115""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Back Bay""], ""postal_code"": ""02115"", ""country_code"": ""US"", ""address"": [""47 Massachusetts Ave""], ""coordinate"": {""latitude"": 42.3498513, ""longitude"": -71.0891662}, ""state_code"": ""MA""}",Back Bay,42.3498513,-71.0891662,newamerican
The Glenville Stops,http://www.yelp.com/biz/the-glenville-stops-boston,128,"[[""American (New)"", ""newamerican""], [""Burgers"", ""burgers""], [""Gastropubs"", ""gastropubs""]]",4.5,"Great place to stumble upon (there was one restaurant next door, and everything else were flats). The inside was beautifully serene, with low light and...","{""cross_streets"": ""Price Rd & Harvard Ave"", ""city"": ""Boston"", ""display_address"": [""87 Glenville Ave"", ""Allston/Brighton"", ""Boston, MA 02134""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Allston/Brighton""], ""postal_code"": ""02134"", ""country_code"": ""US"", ""address"": [""87 Glenville Ave""], ""coordinate"": {""latitude"": 42.3494633823329, ""longitude"": -71.134942010915}, ""state_code"": ""MA""}",Allston/Brighton,42.34946338,-71.13494201,newamerican
